9.14;39.9358
9.17;39.7915
9.20;39.6282
9.22;39.7040
9.23;39.6588
9.25;39.5161
9.28;39.3592
9.31;39.1767
9.35;38.8457
9.37;39.0067
9.39;38.7674
9.43;38.5017
9.47;38.3792
9.52;37.9940
9.55;37.9795
9.58;37.8177
9.62;37.6511
9.64;37.6726
9.65;37.6550
9.67;37.5410
9.69;37.3300
9.72;37.1679
9.77;36.8415
9.79;36.9376
9.81;36.7321
9.85;36.4954
9.87;36.4644
9.91;36.2726
9.95;35.9193
9.97;36.0842
10.00;35.8411
10.03;35.5715
10.07;35.4484
10.12;35.0647
10.15;35.0359
10.18;34.8784
10.22;34.7110
10.25;34.5491
10.28;34.3789
10.32;34.2135
10.33;34.2838
10.35;34.1809
10.37;34.1253
10.40;33.8415
10.43;33.6151
10.47;33.4763
10.54;32.8593
10.57;32.9813
10.60;32.8167
10.63;32.6485
10.67;32.4784
10.70;32.3143
10.75;31.9170
10.77;32.1485
10.79;32.0034
10.80;31.9840
10.82;31.8771
10.85;31.6324
10.88;31.4642
10.92;31.1927
10.95;31.0377
11.02;30.4927
11.03;30.8088
11.07;30.5010
11.10;30.3364
11.13;30.1712
11.17;30.0032
11.20;29.8346
11.22;29.8974
11.23;29.8471
11.25;29.7069
11.28;29.4877
11.31;29.3264
11.35;29.0250
11.38;28.9280
11.43;28.5384
11.47;28.5146
11.48;28.5836
11.50;28.4856
11.52;28.3483
11.55;28.1278
11.59;27.8134
11.62;27.8576
11.68;27.1664
11.72;27.2712
11.74;27.2907
11.77;27.0717
11.80;26.8626
11.82;26.9522
11.83;26.8318
11.85;26.7045
11.89;26.4761
11.93;26.1081
11.95;26.2894
11.98;26.0382
12.02;25.7977
12.05;25.6743
12.12;25.0696
12.15;25.1026
12.18;24.9300
12.22;24.7089
12.28;24.2782
12.29;24.5231
12.32;24.2820
12.35;24.0459
12.38;23.8972
12.42;23.7021
12.46;23.3860
12.48;23.5709
12.50;23.4260
12.51;23.3890
12.53;23.2407
12.56;23.0490
12.59;22.8569
12.63;22.5703
12.67;22.4645
12.74;21.8361
12.75;22.1793
12.78;21.8632
12.80;21.9069
12.81;21.8597
12.85;21.5028
12.88;21.3586
12.95;20.7377
12.97;21.0745
13.00;20.7234
13.03;20.6252
13.07;20.4366
13.10;20.2674
13.13;20.0992
13.17;19.9311
13.18;19.9951
13.20;19.9384
13.22;19.8008
13.24;19.5990
13.28;19.4265
13.32;19.1336
13.35;19.0313
13.40;18.6501
13.43;18.6139
13.47;18.4446
13.50;18.2733
13.53;18.1160
13.57;17.9474
13.60;17.7715
13.62;17.8432
13.63;17.7858
13.65;17.6327
13.68;17.4232
13.71;17.2371
13.75;16.9649
13.78;16.8465
13.85;16.2373
13.87;16.5649
13.90;16.2654
13.92;16.3102
13.93;16.2638
13.97;15.9023
14.00;15.7735
14.07;15.1596
14.10;15.2650
14.13;15.1017
14.17;14.9316
14.18;14.9922
14.20;14.9375
14.22;14.7933
14.24;14.5841
14.28;14.4046
14.32;14.1386
14.35;14.0275
14.42;13.4239
14.43;13.7506
14.47;13.4081
14.48;13.5224
14.54;12.8665
14.56;13.1523
14.57;13.1019
14.60;12.8256
14.63;12.7020
14.69;12.1842
14.70;12.4361
14.75;11.9260
14.78;11.8879
14.82;11.7286
14.83;11.7852
14.85;11.6866
14.87;11.5650
14.90;11.3519
14.93;11.1458
14.97;10.9873
15.03;10.4002
15.07;10.4998
15.10;10.3409
15.12;10.3948
15.13;10.3455
15.15;10.2005
15.18;10.0288
15.21;9.8502
15.25;9.7292
15.32;9.3669
15.36;9.8579
15.38;10.1962
15.40;10.1276
15.42;10.2071
15.43;10.2709
15.47;9.9918
15.54;9.5401
15.58;10.0618
15.60;10.4182
15.62;10.3600
15.63;10.4714
15.64;10.4839
15.68;10.1926
15.77;9.5657
15.80;10.5091
15.82;10.6911
15.83;10.6720
15.85;10.7032
15.86;10.7801
15.90;10.5018
15.99;9.8392
16.02;10.8151
16.03;10.9860
16.05;10.9532
16.06;11.0501
16.08;11.0634
16.12;10.7791
16.19;10.3526
16.23;10.9404
16.25;11.3442
16.26;11.3388
16.28;11.4199
16.30;11.2826
16.33;11.2287
16.42;10.5323
16.46;11.4797
16.47;11.7659
16.48;11.7362
16.50;11.8136
16.52;11.7721
16.54;11.6827
16.63;11.0107
16.67;11.7243
16.69;12.1465
16.70;12.1813
16.71;12.2344
16.73;12.1586
16.76;12.0616
16.85;11.4511
16.89;12.1375
16.91;12.4046
16.92;12.4665
16.94;12.4307
16.95;12.5516
16.98;12.3723
17.06;11.7483
17.10;12.4696
17.12;12.8451
17.13;12.9318
17.15;12.9380
17.16;12.9763
17.20;12.7811
17.29;12.1467
17.33;12.9145
17.35;13.3218
17.36;13.4143
17.38;13.4195
17.39;13.4495
17.43;13.2378
17.51;12.6609
17.56;13.4123
17.57;13.8285
17.59;13.9116
17.60;13.9569
17.63;13.7345
17.73;13.0404
17.75;14.0557
17.77;14.2872
17.80;14.0990
17.82;14.3848
17.87;13.9724
17.92;13.9988
17.95;14.4732
17.97;14.7370
18.00;14.5409
18.02;14.7951
18.03;14.8837
18.07;14.6196
18.10;14.7258
18.18;14.1798
18.22;14.8530
18.24;15.3053
18.27;15.1367
18.28;15.4294
18.32;15.1956
18.41;14.5242
18.44;15.4560
18.46;15.7190
18.47;15.8239
18.49;15.8518
18.50;15.8639
18.54;15.6596
18.63;14.9807
18.68;15.8067
18.69;16.2736
18.71;16.2415
18.72;16.3739
18.75;16.2299
18.84;15.4505
18.88;16.3537
18.89;16.7026
18.92;16.6140
18.93;16.7648
18.95;16.8476
18.98;16.5795
19.07;15.9512
19.11;16.8612
19.12;17.2016
19.15;17.0952
19.17;17.2533
19.18;17.3441
19.22;17.0683
19.32;16.3364
19.33;17.6311
19.35;17.6963
19.36;17.6736
19.38;17.7038
19.41;17.6064
19.45;17.4720
19.51;17.3469
19.55;17.7338
19.57;18.1317
19.59;18.1904
19.60;18.2130
19.63;18.1853
19.66;18.1173
19.75;17.4981
19.78;18.5253
19.80;18.6580
19.81;18.8663
19.83;18.9030
19.84;18.9335
19.87;18.7375
19.96;18.2625
20.00;18.8548
20.01;19.3043
20.03;19.2881
20.05;19.4269
20.07;19.2509
20.11;19.2779
20.19;18.8592
20.22;19.5825
20.23;19.9189
20.26;19.8384
20.28;19.9814
20.29;20.0898
20.33;19.8139
20.40;19.4478
20.44;20.0934
20.45;20.4748
20.47;20.4478
20.48;20.5681
20.50;20.5202
20.53;20.3899
20.62;19.7786
20.66;20.5451
20.67;20.6943
20.69;20.5893
20.70;20.5761
20.72;20.3664
20.76;20.1293
20.85;19.2269
20.88;19.5943
20.89;19.6333
